Sr.No,Main Code,Sub Code,Name of Establishment,Address,City,Date of Applicability of Act,Beat
2505,BOA01595, 000,AL KHAIR SWEET BAKERS,VR. CHOWK VR. ROAD MULTAN,MULTAN,01-JUL-10,F
2506,BOA01353, 000,AL KHAIR SWEETS ,GULSHAN MARKET NEW MULTAN ,MULTAN,01-MAR-10,F
2507,BOA01883, 000,AL KHALIL COLD STORAGE & ICE FACTORY,BEHIND TARIQ FLOUR MILLS QASIM PUR COLONY BAHAWALPUR ROAD ,MULTAN,01-JAN-11,F
2508,BOA01486, 000,AL MADINA PACKAGES ,04 KM BWP ROAD ADA MUNIRABAD MULTAN ,MULTAN,01-JAN-11,F
2509,BOA01249, 000,AL MAKKI FUELS CNG,VEHARI CHOWK MULTAN,MULTAN,01-JUL-09,F
2510,BOA03653, 000,AL MALIK ENTERPRISES,"HOUSE NO. 265, TAUGLAQ TOW ",MULTAN,01-JUL-23,F
2511,BOA03091, 000,AL MANARA COLLEGE OF PHARMACY,"M.A Jinnah Road, Near Hascol Petrol Pump, Adjacent Jamia Masjid Ismail, Multan.",MULTAN,01-JAN-19,F
2512,BOA01367, 000,AL MUQEET SECURITY SERVICES (PVT) LTD,ALEEM CENTRE BLOCK-E SHAH RUKAN-E-ALAM COLONY,MULTAN,01-JAN-10,F
2513,BOA02063, 000,AL MUSTAQEEM PETROL PUMP (SHELL),MAKHDOOM RASHEED CITY VEHARI ROAD,MULTAN,01-JAN-12,F
2514,BOA03771, 000,AL NAFAY COTTON WASTE FACTORY,3-KM BWP ROAD MULTAN,MULTAN,01-JUL-23,F
2515,BOA03565, 000,AL NAIMAT RESTAURANT & BAR B Q,GULSHAN MARKET MULTAN,MULTAN,01-JUL-22,F
2516,BOA03112, 000,AL QURESH FILLING STATION,NEAR MOTORWAY INTERCHANGE BAHAWALPUR ROAD MULTAN,MULTAN,01-JAN-20,F
2517,BOA03557, 000,AL RAFFAY HYPER MART,GULSHAN MARKET OPP. MUNICIPAL CORP. NEW MULTAN,MULTAN,01-JUL-22,F
2518,BOA02062, 000,AL RAZZAQ PETROL PUMP (TOTAL),NEAR HOOR GHEE MILLS 17-KASSI VEHARI ROAD ,MULTAN,01-DEC-12,F
2519,BOA03449, 000,AL REHMAN PHARMACY,"D MARKET, SHAH RUKN-E-ALAM",MULTAN,01-JUL-19,F
2520,BOA02066, 000,AL SAMAD PLYWOOD,OPPOSITE ISLAMI RICE FACTORY ADDA MUNIRABAD BAHAWALPUR ROAD,MULTAN,01-JAN-12,F
2521,BOA03443, 000,AL SHAFI FLOUR MILLS,"BASTI ALLABAD, GARDEZI MORE BWP ROAD",MULTAN,01-JAN-22,F
2522,BOA02088, 000,AL UMER FLOUR MILLS,LEASER SALEEM INDUSTRY 17 KASSI VEHARI ROAD,MULTAN,01-NOV-13,F
2523,BOA02306, 000,AL-BARKAt DIAGONASTIC CENTER,677-E SHAH RUKNE ALAM COLONY MULTAN,MULTAN,01-JUN-12,F
2524,BOA00923, 000,AL-FURQAN TEX,MOUZA GOPALL PUR GARDEZI MORE BAHAWALPUR ROAD ,MULTAN,15-FEB-04,F
2525,BOA02457, 000,AL-HARAM RICE MILLS,18 KASSI MOUZA JHOK LASHKARPUR BODHLA ROAD,MULTAN,01-MAR-16,F
2526,BOA02588, 000,AL-HASSAN PUBLIC SCHOOL & KIDS HAPPI HOME,K BLOCK SHAH RUKN E ALAM COLONY OPP.GOVT.DEGREE COLLEGE,MULTAN,01-JUL-16,F
2527,BOA00471, 000,AL-KHAIR INDUSTRIES,BAHAWALPUR ROAD MULTAN ,MULTAN,01-NOV-92,F
2528,BOA02460, 000,AL-KHAIR PETROLEUM SERVICES,BASTI MALOOK MULTAN,ABBASPUR,01-JUL-15,F
2529,BOA02995, 000,AL-MADINA DYING & PRINTING,"ADDA BILLI WALA, BASTI KAPPAR, BAHAWALPUR ROAD,",MULTAN,01-JUL-18,F
2530,BOA02646, 000,AL-RAHIM PRINTING,"GARDEZI MORE, BAHAWALPUR ROAD, MULTLAN",ABBASPUR,01-JUL-15,F
2531,BOA01267, 000,ALHAMD CNG STATION ,KEEKAR STOP GENERAL BUS STAND ROAD MULTAN ,MULTAN,01-JUL-09,F
2532,BOA02222, 000,ALHAMMD GARDEN MARRIAGE CLUB,NEAR NOON CHOWK NEW MULTAN,MULTAN,01-NOV-14,F
2533,BOA02600, 000,ALI TEXTILES,"17-Kassi vehari road, multan",MULTAN,01-JUL-16,F
2534,BOA01507, 000,ALKARAM OIL INDUSTRIES,MOZA SHAIKH WALA OLD DUNYAPUR ROAD MULTAN,MULTAN,01-JUL-09,F
2535,BOA02199, 000,ALLIED SCHOOL,GULSHAN MARKET NEW MULTAN,MULTAN,01-JUL-13,F
2536,BOA01630, 000,ALMAKKI FUEL CNG 2,C BLOCK OPP JINNAH PARK SHAH RUKNE ALAM MULTAN,MULTAN,01-JUL-09,F
2537,BOA00679, 000,ALPHA TEXTILE DYEING,BAHAWALPUR BY PASS ROAD ,MULTAN,01-MAR-01,F
2538,BOA02467, 000,AMANAT EMBRIDERY,STADIUM ROAD VEHARI ROAD,MULTAN,01-APR-16,F
2539,BOA02447, 000,AMIR OIL LUBRICANTS,MOUZA BHAINI NEAR MULTAN CRICKET STADIUM,MULTAN,01-JAN-14,F
2540,BOA01100, 000,AMIR RAO & CO. (ENGRO CONTRACTOR),C/O ENGRO CHEMICAL WARE HOUSE BAHAWALPUR BY PASS,MULTAN,,F
2541,BOA02246, 000,AMMAAR PAAPAR FACTORY,17-KASSI BUDHLA ROAD MULTAN,MULTAN,01-JUL-13,F
2542,BOA02131, 000,AMMAR FOODS (PAPAR FACTORY),17 KASSI BUDHLA ROAD MULTAN,MULTAN,01-JUL-13,F
2543,BOA00726, 000,ANEES TEXTILE MILLS,"12 KM BYPASS CHOWK BAHAWALPUR ROAD, MULTAN",MULTAN,01-JUL-02,F
2544,BOA01252, 000,APEX PETROLIUM(PSO),BAHAWALPUR ROAD NEAR SABRI CNG MULTAN,MULTAN,01-JUL-09,F
2545,BOA03887, 000,APPLE GROUP OF SCHOOL,"287-F, FATIMA JINNAH TOWN MULTAN",MULTAN,01-FEB-25,F
2546,BOA01550, 000,AQIB BROTHERS DEPOT HOLDER UNILIVER,12-KM ADA MUNIRABAD BWP ROAD MULTAN ,MULTAN,01-OCT-10,F
2547,BOA03446, 000,AQSA CLOTH,"350-D, SHAH RUKN-E-ALAM ",MULTAN,01-JUL-21,F
2548,BOA03041, 000,ARAB PACKAGES,"CHAH KOT WALA, PEER WALI PUL, BEHIND CANAL VIEW, BAHWALPUR ROAD MULTAN",MULTAN,30-JUN-18,F
2549,BOA00622, 000,ARAFAT OIL INDUSTRIES (PVT) LIMITED,MOUZA KOTLA REHMAN ALI 19-KM BWP ROAD MULTAN PH:577265,MULTAN,01-AUG-98,F
2550,BOA00347, 000,ARIAN COTTON FACTORY,BAHAWALPUR ROAD NEAR RADIO PAKISTAN P T S P O QASIMPUR MULTAN,MULTAN,22-OCT-88,F
2551,BOA02085, 000,ARIAN RICE MILLS,OPP. HIGH POWER TRANSMISSION RADIO STATION BAHAWALPUR ROAD,MULTAN,01-OCT-13,F
2552,BOA02003, 000,ASHRAF NASEER MEDICAL CENTRE,GENERAL BUS STAND ROAD OPPOSITE JINNAH PARK,MULTAN,01-JUL-10,F
2553,BQA00042,BO001,ASMA FOODS,"OPPOSITE AL HILAL INDUSTRY, VEHARI ROAD, MULTAN ",MULTAN,01-DEC-82,F
2554,BOA03586, 000,ASPIRE COLLEGE,MAKHDOOM RASHID VEHARI ROAD MULTAN,MULTAN,01-JUL-22,F
2555,BOA02060, 000,AUSAF RICE MILLS,SOUTHERN BY PASS NEAR 17-KASSI VEHARI ROAD,MULTAN,01-JUL-10,F
2556,BOA02650, 000,AWAIS PACKAGES,"MOUZA BHAINI NEAR CRICKEDT STADIUM,MULTAN",MULTAN,01-JAN-17,F
2557,BOA00687,BO001,AYYOUB SOAP FACTORY,16 KM BAHAWALPUR ROAD ,MULTAN,01-JUL-01,F
2558,BOA01562, 000,AZEEM COLLEG OF TECHNOLOGY,NEAR UBL BANK BWP ROAD BASTI MALOOK,MULTAN,01-JUL-10,F
2559,BOA03825, 000,AZHAR KHAN FOODS AND BAKER,"NEAR VEHARI ROAD,CRICKET STADIUM FACTORY AREA",MULTAN,01-DEC-23,F
2560,BOA02913, 000,BAHAUDDIN ZAKARIYA INSTITUTE OF HEALTH SCIENCE ,"1-E, Y BLOCK, SERVICE ROAD, NEW MULTAN",MULTAN,01-JUL-15,F
2561,BOA03709, 000,BARKAT FOOD PRODUCTS,"BAHAWALPUR BY-PASS ROAD, RAMKALI",MULTAN,01-JAN-22,F
2562,BOA03438, 000,BASHIR AHMAD DESI KARAHI,"GULSHAN MARKET, NEW MULTAN",MULTAN,01-JUL-21,F
2563,BOA00864, 000,BASHIR ENTERPRISES,WAZIRABAD STOP BAHAWALPUR ROAD ,MULTAN,01-OCT-03,F
2564,BOA00494, 000,BASHIR FLOUR MILLS PVT LTD, BODHLA ROAD MULTAN ,MULTAN,01-JUL-93,F
2565,BOA02597, 000,BASIT INDUSTRIES PVT LTD,C/O HOOR OIL MILL VEHARI ROAD,MULTAN,01-MAY-16,F
2566,BOA00789,BO001,BELL N TELL,"552-K BLOCK, SHAH RUKN-E-ALAM",MULTAN,01-AUG-18,F
2567,BOA03002, 000,BEST CARGO,"12KM BAHAWALPUR ROAD, MUNIRABAD",MULTAN,01-OCT-18,F
2568,BOA03306, 000,BHATTI ASSOCIATES,"ADDA BILLI WALA BEHIND WAQAS OIL, BWP ROAD",MULTAN,01-MAR-21,F
2569,BIA01805,BO029,BIG BIRD POULTRY BREEDERS (PVT) LTD,"PULL MATEY WALA, BAHAWALPUR ROAD, MULTAN.",MULTAN,10-NOV-19,F
2570,BIA01805,BO028,BIG BIRD POULTRY BREEDERS PVT LTD,"199-E, SHAH RUKN ALAM COLONY, JINNAH PARK METRO STATION",MULTAN,10-SEP-19,F
2571,BOA01824, 000,BILAL DAEWOO,HASSAN ABAD GATE 1 KWL ROAD ,MULTAN,,F
